Date (Quarterly),GDP YoY % Change,PMI,CPI,Core CPI,Unemployment Levels %,Consensus Forecast,GDP,PMI,CPI,Core CPI,Unemployment
2006-01-01,2.23718,,,,4.4 ,,,,,,
2006-04-01,1.54416,,,,4.1 ,,,,,,
2006-07-01,0.62257,,,,4.1 ,,,,,,
2006-10-01,1.68977,,,,4.1 ,,,,,,
2007-01-01,2.34146,,,,4.0 ,,,,,,
2007-04-01,2.21676,,,,3.8 ,,,,,,
2007-07-01,1.55920,,,,3.6 ,,,,,,
2007-10-01,0.78191,,,,4.0 ,,,,,,
2008-01-01,0.27216,,,,3.9 ,,,,,,
2008-04-01,-0.36330,,,,3.9 ,,,,,,
2008-07-01,-0.82117,,,,3.9 ,,,,,,
2008-10-01,-3.72138,,,,3.8 ,,,,,,
2009-01-01,-8.18421,,,,4.3 ,,,,,,
2009-04-01,-6.70806,,,,5.0 ,,,,,,
2009-07-01,-6.27223,,,,5.5 ,,,,,,
2009-10-01,-2.45183,,,,5.2 ,,,,,,
2010-01-01,3.34046,,,,5.0 ,,,,,,
2010-04-01,3.60659,,,,5.1 ,,,,,,
2010-07-01,6.08159,,,,5.0 ,,,,,,
2010-10-01,3.50905,,,,5.1 ,,,,,,
2011-01-01,0.77364,,,,4.8 ,,,,,,
2011-04-01,-1.23223,,,, <4.7>,,,,,,
2011-07-01,-0.58207,,,, <4.7>,,,,,,
2011-10-01,0.31419,,,,4.4 ,,,,,,
2012-01-01,3.32083,,,,4.5 ,,,,,,
2012-04-01,3.02238,,,,4.5 ,,,,,,
2012-07-01,0.21677,,,,4.3 ,,,,,,
2012-10-01,0.12678,,,,4.1 ,,,,,,
2013-01-01,-0.11397,,,,4.2 ,,,,,,
2013-04-01,1.85560,,,,4.1 ,,,,,,
2013-07-01,3.23096,,,,3.8 ,,,,,,
2013-10-01,3.14210,,,,4.0 ,,,,,,
2014-01-01,2.90639,,,,3.7 ,,,,,,
2014-04-01,0.39550,,,,3.6 ,,,,,,
2014-07-01,-0.35347,,,,3.7 ,,,,,,
2014-10-01,0.36353,,,,3.6 ,,,,,,
2015-01-01,0.92378,,,,3.6 ,,,,,,
2015-04-01,2.45914,,,,3.4 ,,,,,,
2015-07-01,2.41010,,,,3.3 ,,,,,,
2015-10-01,1.62491,,,,3.2 ,,,,,,
2016-01-01,0.88349,,,,3.2 ,,,,,,
2016-04-01,0.47824,,,,3.2 ,,,,,,
2016-07-01,0.55648,,,,3.0 ,,,,,,
2016-10-01,0.76517,,,,3.0 ,,,,,,
2017-01-01,0.62445,,,,3.0 ,,,,,,
2017-04-01,1.29602,,,,2.8 ,,,,,,
2017-07-01,2.21747,,,,2.8 ,,,,,,
2017-10-01,2.36167,,,,2.7 ,,,,,,
2018-01-01,1.46429,,,,2.4 ,,,,,,
2018-04-01,1.77757,,,,2.5 ,,,,,,
2018-07-01,0.13850,,,,2.5 ,,,,,,
2018-10-01,0.05276,,,,2.4 ,,,,,,
2019-01-01,0.33660,,,,2.5 ,,,,,,
2019-04-01,0.10040,,,,2.4 ,,,,,,
2019-07-01,0.63946,,,,2.3 ,,,,,,
2019-10-01,-2.32409,,,,2.4 ,,,,,,
2020-01-01,-2.07030,,,,2.4 ,,,,,,
2020-04-01,-9.50111,,,,2.6 ,,,,,,
2020-07-01,-5.04078,,,,2.9 ,,,,,,
2020-10-01,-0.59454,,,,3.1 ,,,,,,
2021-01-01,0.09215,,,,3.0 ,,,,,,
2021-04-01,8.66777,,,,2.9 ,,,,,,
2021-07-01,3.34276,,,,2.8 ,,,,,,
2021-10-01,2.86690,,,,2.7 ,,,,,,
2022-01-01,1.41275,,,,2.8 ,,,,,,
2022-04-01,1.65328,,,,2.6 ,,,,,,
2022-07-01,1.42655,,,,2.5 ,,,,,,
2022-10-01,0.67836,,,,2.6 ,,,,,,
2023-01-01,1.79946,,,,2.5 ,,,,,,
2023-04-01,1.02105,,,,2.6 ,,,,,,
2023-07-01,-0.00389,,,,2.6 ,,,,,,
2023-10-01,0.05764,,,,2.5 ,,,,,,
2024-01-01,-1.23216,,,,2.5 ,,,,,,
2024-04-01,-1.24697,,,,2.6 ,,,,,,
2024-07-01,0.81399,,,,2.7 ,,,,,,
2024-10-01,0.75540,,,,2.5 ,,,,,,
2025-01-01,1.57338,,,,2.5 ,,,,,,
2025-04-01,1.99682,,,,2.5 ,,,,,,
2025-07-01,0.67403,,,,2.4 ,,,,,,
2025-10-01,0.53886,,,,2.6 ,,,,,,
,,,,,2.7 ,,,,,,
