Date (Quarterly),GDP YoY % Change,PMI,CPI,Core CPI,Unemployment Levels %,Consensus Forecast,GDP,PMI,CPI F,Core CPI,Unemployment,Surprise,GDP,PMI,CPI,Core CPI,Unemployment 
2006-01-01,3.21311,,3.69087,2.504367667,4.7,,5.93434827,,2.23,1.2,4.85,,-2.72124,0.00000,1.46087,1.30437,-0.15000
2006-04-01,2.97290,,3.92427,2.827660333,4.6,,5.66443235,,3.28,1.4,4.7,,-2.69153,0.00000,0.64427,1.42766,-0.10000
2006-07-01,2.32528,,3.34012,3.172047333,4.6,,5.57681307,,3.37,1.5,4.72,,-3.25153,0.00000,-0.02988,1.67205,-0.12000
2006-10-01,2.63456,,1.96540,3.181040000,4.4,,5.13708084,,0.52,1.5,4.59,,-2.50252,0.00000,1.44540,1.68104,-0.19000
2007-01-01,1.57672,,2.43165,3.129683333,4.5,,5.15581849,,2.33,2.23,4.6,,-3.57910,0.00000,0.10165,0.89968,-0.10000
2007-04-01,1.93437,,2.66529,2.784459333,4.5,,5.19964818,,4.07,2.2,4.56,,-3.26528,0.00000,-1.40471,0.58446,-0.06000
2007-07-01,2.36804,,2.34897,2.486496333,4.7,,4.84648891,,2.33,2.25,4.6,,-2.47845,0.00000,0.01897,0.23650,0.10000
2007-10-01,2.13336,,4.03114,2.618832667,4.8,,4.49580392,,2.89,2.16,4.74,,-2.36244,0.00000,1.14114,0.45883,0.06000
2008-01-01,1.39247,,4.13704,2.684794000,5.0,,3.97885021,,3.2,2.33,5,,-2.58638,0.00000,0.93704,0.35479,0.00000
2008-04-01,1.37601,,4.31042,2.817493000,5.3,,4.08124304,,3.51,2.25,5.15,,-2.70523,0.00000,0.80042,0.56749,0.15000
2008-07-01,0.26597,,5.25250,3.054299333,6.0,,3.98853694,,5.12,2.52,5.65,,-3.72257,0.00000,0.13250,0.53430,0.35000
2008-10-01,-2.54115,,1.59580,2.771273667,6.9,,1.54638792,,-2.32,2.05,6.61,,-4.08754,0.00000,3.91580,0.72127,0.29000
2009-01-01,-3.23423,,-0.18424,2.505415333,8.3,,0.12647286,,-2.45,0.7,7.76,,-3.36070,0.00000,2.26576,1.80542,0.54000
2009-04-01,-3.97884,,-0.94214,2.237264333,9.3,,2.11206975,,0.91,1.29,9.04,,-6.09091,0.00000,-1.85214,0.94726,0.26000
2009-07-01,-3.13282,,-1.60696,1.756701667,9.6,,4.03317777,,2.3,1.66,9.63,,-7.16600,0.00000,-3.90696,0.09670,-0.03000
2009-10-01,0.10557,,1.48766,1.396515333,9.9,,4.18322144,,2.22,1.33,10.1,,-4.07765,0.00000,-0.73234,0.06652,-0.20000
2010-01-01,1.74527,,2.35257,1.048316833,9.8,,4.39834194,,1.91,1.24,9.93,,-2.65307,0.00000,0.44257,-0.19168,-0.13000
2010-04-01,2.91360,,1.77527,0.813575833,9.6,,4.63497372,,1.21,1.08,9.75,,-1.72137,0.00000,0.56527,-0.26642,-0.15000
2010-07-01,3.34421,,1.20288,0.699684933,9.5,,4.028182,,1.24,1.29,9.63,,-0.68397,0.00000,-0.03712,-0.59032,-0.13000
2010-10-01,2.77596,,1.22978,0.775474467,9.5,,4.074264,,1.96,1.09,9.62,,-1.29830,0.00000,-0.73022,-0.31453,-0.12000
2011-01-01,2.03780,,2.14822,1.083932067,9.0,,5.04485476,,2.42,1.12,9.29,,-3.00705,0.00000,-0.27178,-0.03607,-0.29000
2011-04-01,1.74371,,3.34611,1.253441333,9.1,,5.2286708,,3.42,1.64,8.83,,-3.48496,0.00000,-0.07389,-0.38656,0.27000
2011-07-01,0.94265,,3.71595,1.597132333,9.0,,4.2710925,,1.7,2.11,9.07,,-3.32844,0.00000,2.01595,-0.51287,-0.07000
2011-10-01,1.54308,,3.34473,1.905452000,8.6,,4.31380988,,1.9,1.65,9.03,,-2.77073,0.00000,1.44473,0.25545,-0.43000
2012-01-01,2.63807,,2.82932,2.084076667,8.3,,4.41875925,,2,1.91,8.4,,-1.78069,0.00000,0.82932,0.17408,-0.10000
2012-04-01,2.40334,,1.88792,2.206308333,8.2,,4.48035051,,2.07,1.99,8.14,,-2.07701,0.00000,-0.18208,0.21631,0.06000
2012-07-01,2.57371,,1.68486,2.216934000,8.0,,4.05483216,,1.69,2.08,8.19,,-1.48112,0.00000,-0.00514,0.13693,-0.19000
2012-10-01,1.55185,,1.90357,2.169771000,7.8,,4.12901868,,2.29,1.81,7.9,,-2.57717,0.00000,-0.38643,0.35977,-0.10000
