symbol,name,region,sector,ai_labor_score
NKE,NIKE Inc,North_America,Consumer_Discretionary,10.6752
ATAT,Atour Lifestyle Holdings ADR,Asia_Pacific,Consumer_Hotel,0.0
SBAC,SBA Communications Corp,North_America,Real_Estate_REIT,0.1989
NCNO,nCino Inc,North_America,Financials_Fintech,2.0251
VERI,Veritone Inc,North_America,Technology_AI,24.0549
XOS,Xos Inc,North_America,Industrials_EV,6.1185
BZ,Kanzhun Ltd ADR,Asia_Pacific,Technology_Recruitment,10.6496
BGS,B&G Foods Inc,North_America,Consumer_Staples,12.6491
GHI,Greystone Housing Impact Investors LP,North_America,Financials_Credit,-0.023
LEGN,Legend Biotech Corp ADR,Asia_Pacific,Healthcare,0.0
MIRM,Mirum Pharmaceuticals Inc,North_America,Healthcare,0.0
ACOG,Alpha Cognition Inc,North_America,Healthcare,0.0
JBS,JBS N.V.,Latin_America,Consumer_Staples,13.3091
RH,RH Restoration Hardware,North_America,Consumer_Discretionary,4.0286
SU,Suncor Energy Inc,North_America,Energy,0.0
